Company,Rating,Reviews,Industry,Location,Type,HQ,Age,Employees,Highly_Rated,Critically_Rated,Page
Bandhan Bank,,(11.8k),Banking,Kolkata +1052 other locations,,,,,"Promotions, Company Culture, Work Satisfaction",,3
Digitide Solutions,,(10.7k),IT Services & Consulting,Hyderabad +279 other locations,,,,,"Promotions, Salary, Work Satisfaction",,3
Yes Bank,,(10.6k),Banking,Mumbai +548 other locations,,,,,"Job Security, Promotions, Company Culture",,3
Mphasis,,(10.6k),IT Services & Consulting,Bengaluru +68 other locations,,,,,"Promotions, Salary, Work Satisfaction",,3
Tata Steel,,(10.3k),Iron & Steel,Jamshedpur +235 other locations,,,,,"Work Life Balance, Job Security, Company Culture",Promotions,3
Quess,,(10.1k),Recruitment,Bengaluru +780 other locations,,,,,"Promotions, Job Security",,3
Asian Paints,,(10k),Chemicals,Mumbai +569 other locations,,,,,"Salary, Skill Development","Promotions, Work Life Balance",3
UltraTech Cement,,(9.9k),Building Material,Mumbai +555 other locations,,,,,"Job Security, Skill Development, Company Culture",Promotions,3
Maruti Suzuki,,(9.9k),Automobile,Gurugram +468 other locations,,,,,"Job Security, Salary, Company Culture",,3
Startek,,(9.9k),BPO,Bengaluru +105 other locations,,,,,"Promotions, Work Satisfaction, Salary",,3
Bajaj Finance,,(9.7k),NBFC,Pune +1033 other locations,,,,,"Salary, Skill Development, Job Security",,3
Paytm,,(9.6k),FinTech,Noida +437 other locations,,,,,"Job Security, Company Culture, Promotions",,3
Shriram Finance,,(9.5k),NBFC,Chennai +1144 other locations,,,,,"Job Security, Work Life Balance",Promotions,3
Sutherland Global Services,,(9.4k),BPO,Chennai +89 other locations,,,,,"Promotions, Work Satisfaction, Skill Development",,3
Equitas Small Finance Bank,,(9.2k),Banking,Chennai +491 other locations,,,,,"Company Culture, Work Life Balance, Job Security",,3
Coforge,,(9.2k),IT Services & Consulting,Hyderabad +117 other locations,,,,,"Promotions, Work Satisfaction, Job Security",,3
Wells Fargo,,(9.1k),Financial Services,Bengaluru +32 other locations,,,,,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",3
